count_of_invoice,type_of_request,request_id,created_by,created_on,branch_name,supplier_code,name,country,currency,sub_request_type,amount,task_start,actioned_date,request_received_stage,request_received_date,completed_date,status_of_request,pending_reason,pending_with_approver/requestor,qc_status,audited_by,auditor_comments,ageing_sla_fpy,month,,,,,
1,Check Request,960900,Allison Hill,03-10-23,1224 - Romerochester,Zs84Pp-281,Brown PLC,United States,USD,Union,13249,03-10-23,03-10-23,Processor,03-10-23,03-10-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,0.00,Oct-23,,,,,
1,Check Request,906015,Noah Rhodes,04-10-23,7027 - Websterton,NK51DM-941,Frye-Welch,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,3405,04-10-23,07-11-23,Processor,04-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,24.00,Oct-23,,,,,
1,Check Request,172579,Angie Henderson,04-10-23,2305 - Emilyfort,bQ81gM-763,"Harris, Ruiz and Suarez",Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,426,04-10-23,07-11-23,Processor,04-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,24.00,Oct-23,,,,,
1,Check Request,831527,Daniel Wagner,04-10-23,9392 - West Vincent,Uh11BS-543,Duncan-Elliott,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,34399,04-10-23,07-11-23,Processor,04-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,24.00,Oct-23,,,,,
1,Check Request,393640,Cristian Santos,04-10-23,7433 - Atkinsshire,at70RJ-141,Kelley-Hernandez,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,46705,04-10-23,07-11-23,Processor,04-10-23,07-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,24.00,Oct-23,,,,,
1,Check Request,294418,Connie Lawrence,04-10-23,5715 - Mariaborough,Qw82yj-064,"Parsons, Miller and Moody",United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,548,04-10-23,07-11-23,Processor,04-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,24.00,Oct-23,,,,,
1,Check Request,338997,Abigail Shaffer,05-10-23,6896 - Hillfort,Ol00TF-983,Graham-Underwood,United States,USD,Legal Obligations (i.e. Taxes),10029,05-10-23,07-11-23,Processor,05-10-23,07-11-23,COMPLETED,-,-,Pass,Prashanth,Passed,23.00,Oct-23,,,Average amount =,,138904
1,Check Request,840480,Gina Moore,05-10-23,3793 - East Patrickberg,nN36Di-529,Rodriguez-Powell,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,1200,05-10-23,07-11-23,Processor,05-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,23.00,Oct-23,,,,,
3,Check Request,424282,Gabrielle Davis,06-10-23,1674 - Fosterfort,wA52SU-056,Adams-Sanchez,United States,USD,Legal Obligations (i.e. Taxes),100,06-10-23,07-11-23,Processor,06-10-23,07-11-23,COMPLETED,-,-,Not audited,Not Applicable,No Comments,22.00,Oct-23,,,,,
1,Check Request,208287,Ryan Munoz,06-10-23,8161 - DYERSTAD,ej79DZ-167,Mccarthy PLC,United States,USD,Legal Obligations (i.e. Taxes),22,06-10-23,07-11-23,Processor,06-10-23,07-11-23, COMPLETED ,-,-,Not audited,Not Applicable,No Comments,22.00,Oct-23,,,,,
