Count of Invoice,Type of Request,REQUEST ID,CREATED BY,CREATED ON,BRANCH NAME,SUPPLIER CODE,NAME,COUNTRY,CURRENCY,TYPE OF REQUEST,Amount,TASK START,Actioned Date,Request Received Stage,Request received date,Completed Date,Status of Request,Pending Reason,Pending With Approver/Requestor,QC Status,Audited By,Auditor Comments,Ageing-SLA-FPY,Ageing-SLA-2,Ageing of Re-work Days,Ageing of Re-work,Month,Unnamed: 28, Amount 
1.0,Check Request,960900,Allison Hill,2023-10-03 00:00:00,1224 - Romerochester,Zs84Pp-281,Brown PLC,United States,USD,Union,13248.96,2023-10-03 00:00:00,2023-10-03 00:00:00,Processor,2023-10-03 00:00:00,2023-10-03 00:00:00,COMPLETED,-,-,Not audited,,,0.0,,,,Oct-23,1.0,
1.0,Check Request,906015,Noah Rhodes,2023-10-04 00:00:00,7027 - Websterton,NK51DM-941,Frye-Welch,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,3404.54,2023-10-04 00:00:00,2023-11-07 00:00:00,Processor,2023-10-04 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,24.0,,,,Oct-23,1.0,
1.0,Check Request,172579,Angie Henderson,2023-10-04 00:00:00,2305 - Emilyfort,bQ81gM-763,"Harris, Ruiz and Suarez",Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,425.88,2023-10-04 00:00:00,2023-11-07 00:00:00,Processor,2023-10-04 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,24.0,,,,Oct-23,1.0,
1.0,Check Request,831527,Daniel Wagner,2023-10-04 00:00:00,9392 - West Vincent,Uh11BS-543,Duncan-Elliott,Canada,CAD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,34398.75,2023-10-04 00:00:00,2023-11-07 00:00:00,Processor,2023-10-04 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,24.0,,,,Oct-23,1.0,
1.0,Check Request,393640,Cristian Santos,2023-10-04 00:00:00,7433 - Atkinsshire,at70RJ-141,Kelley-Hernandez,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,46705.02,2023-10-04 00:00:00,2023-11-07 00:00:00,Processor,2023-10-04 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,24.0,,,,Oct-23,1.0,
1.0,Check Request,294418,Connie Lawrence,2023-10-04 00:00:00,5715 - Mariaborough,Qw82yj-064,"Parsons, Miller and Moody",United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,548.23,2023-10-04 00:00:00,2023-11-07 00:00:00,Processor,2023-10-04 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,24.0,,,,Oct-23,1.0,
1.0,Check Request,338997,Abigail Shaffer,2023-10-05 00:00:00,6896 - Hillfort,Ol00TF-983,Graham-Underwood,United States,USD,Legal Obligations (i.e. Taxes),10028.88,2023-10-05 00:00:00,2023-11-07 00:00:00,Processor,2023-10-05 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Pass,Prashanth,Passed,23.0,,,,Oct-23,1.0,
1.0,Check Request,840480,Gina Moore,2023-10-05 00:00:00,3793 - East Patrickberg,nN36Di-529,Rodriguez-Powell,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,1200,2023-10-05 00:00:00,2023-11-07 00:00:00,Processor,2023-10-05 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,23.0,,,,Oct-23,1.0,
3.0,Check Request,424282,Gabrielle Davis,2023-10-06 00:00:00,1674 - Fosterfort,wA52SU-056,Adams-Sanchez,United States,USD,Legal Obligations (i.e. Taxes),100,2023-10-06 00:00:00,2023-11-07 00:00:00,Processor,2023-10-06 00:00:00,2023-11-07 00:00:00,COMPLETED,-,-,Not audited,,,22.0,,,,Oct-23,1.0,
1.0,Check Request,208287,Ryan Munoz,2023-10-06 00:00:00,8161 - DYERSTAD,ej79DZ-167,Mccarthy PLC,United States,USD,Legal Obligations (i.e. Taxes),21.91,2023-10-06 00:00:00,2023-11-07 00:00:00,Processor,2023-10-06 00:00:00,2023-11-07 00:00:00, COMPLETED ,-,-,Not audited,,,22.0,,,,Oct-23,1.0,
